"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"53",48,0,9,2,0,247,10,7,1,72,5,14,16,23,3,3,1,31,0,38,15,49,2,12,27,4,31,5,34,5,0,9,48,3,2,10,25,56,0,19,0,53,1,4,3,2,29,52,0,5,3,10,0,0,5,3,35,13,43,6,43,2,35,36,3,17,25,24,33,8,3,0,13,3,0,1,4,0,0,3,2,1,4,1,10,22,0,1,0,0,0,17,22,9,2,4,2,4,0,18
"54",56,115,80,31,4,8,12,2,35,9,29,25,130,37,11,36,14,9,0,20,7,2,56,26,1,27,5,71,1,45,2,21,0,26,108,63,1,2,12,20,2,3,63,2,20,102,4,6,2,37,31,9,0,0,11,10,0,6,0,4,0,6,1,0,20,0,3,2,0,3,28,10,1,22,4,0,3,9,41,6,4,16,0,20,4,0,0,22,1,2,3,4,1,3,43,8,14,3,12,17
"55",20,20,27,67,3,28,213,55,25,4,20,15,35,11,26,19,6,21,0,23,7,6,11,9,3,9,46,10,2,11,3,11,4,9,20,22,4,3,5,12,2,11,12,4,5,11,12,9,3,14,9,9,5,11,0,5,2,19,2,25,5,3,5,6,6,4,10,6,2,5,7,5,11,9,3,0,22,10,13,4,6,2,2,4,8,2,0,1,14,0,0,2,3,3,10,6,7,9,20,9
"56",41,17,82,16,6,9,12,26,10,5,19,68,12,18,31,20,2,10,0,11,10,14,24,29,6,10,1,14,1,8,0,18,1,21,40,7,4,35,4,9,3,6,39,13,18,17,6,7,1,15,19,14,3,10,5,0,1,4,3,3,6,27,1,10,16,1,2,3,8,2,13,12,6,28,2,0,0,4,15,6,3,10,1,7,1,0,2,17,1,17,1,7,4,5,12,5,17,41,27,8
"57",139,4,16,2,0,74,2,13,2,87,13,1,14,37,8,6,2,33,0,26,24,46,1,6,182,3,21,6,133,13,0,1,32,5,2,2,105,52,0,16,0,33,3,5,6,3,44,31,0,6,2,12,35,0,2,1,0,11,60,2,18,0,27,18,1,9,13,10,32,0,0,7,10,1,0,1,1,0,1,4,0,10,0,4,0,64,0,1,0,1,1,17,24,19,1,1,8,9,0,10
"58",49,12,20,3,17,37,9,6,3,10,9,7,413,59,0,11,7,41,14,82,30,24,6,7,17,7,98,14,30,5,5,3,32,11,9,6,25,22,7,89,14,30,9,1,15,7,23,46,7,4,9,24,13,6,19,4,11,0,19,1,18,1,29,8,5,36,9,41,12,1,7,1,52,3,8,6,0,2,5,5,3,10,0,1,2,18,6,1,2,2,4,19,21,5,3,4,15,3,2,6
"59",93,2,4,0,1,67,3,7,1,78,2,2,21,16,1,0,0,23,1,32,15,78,2,12,44,2,32,3,87,0,0,0,80,1,2,8,44,179,0,24,0,95,2,2,3,0,21,34,0,1,0,13,43,0,2,3,60,19,0,4,30,0,92,23,0,41,42,58,74,2,2,1,29,0,0,0,2,0,0,4,3,1,0,1,1,67,0,0,0,1,1,15,37,5,0,2,1,2,1,5
"60",5,9,16,52,0,16,42,81,22,2,3,13,2,5,52,0,1,3,1,5,2,5,0,11,3,8,1,3,0,2,0,3,0,3,4,4,1,21,1,1,0,10,3,2,2,2,6,1,0,8,2,1,6,4,25,3,2,1,4,0,0,5,2,4,3,0,22,2,3,3,4,1,0,2,0,1,16,11,1,8,12,0,19,3,28,2,0,3,7,4,1,0,1,0,1,5,1,3,1,3
"61",53,15,15,1,2,69,9,5,1,59,8,8,25,23,0,0,2,21,0,25,15,39,1,11,24,1,17,3,43,12,0,2,96,3,0,4,35,34,0,19,0,30,1,4,6,3,29,23,0,3,4,11,43,0,5,6,18,18,30,0,0,7,41,15,10,21,11,28,51,3,15,9,17,3,0,1,1,1,2,4,5,1,0,1,1,24,0,1,0,4,1,78,33,6,2,1,1,3,4,11
"62",63,41,74,10,1,11,28,33,2,1,25,56,10,11,34,15,2,7,1,2,6,3,39,38,7,52,4,29,4,12,0,43,10,45,25,9,12,5,1,4,0,9,20,35,22,17,3,5,2,48,55,1,2,6,3,27,0,1,0,5,7,0,1,3,27,6,16,6,4,9,25,18,4,26,2,0,8,6,4,9,20,3,0,22,5,2,0,31,7,5,0,7,4,4,25,27,29,29,24,13
"63",78,4,0,1,0,92,3,1,0,52,5,9,29,25,2,1,1,46,0,44,14,66,1,32,40,4,34,8,67,1,0,3,125,1,1,7,39,106,0,33,0,81,1,3,4,1,13,34,1,3,4,9,35,1,5,1,27,29,92,2,41,1,0,13,2,44,35,73,66,0,1,1,27,0,0,0,2,2,1,5,4,2,0,1,1,59,0,1,0,2,0,18,55,5,0,1,1,1,1,5
